Timestamp,Score,"1. Please enter all the name(s) of the protected area(s) that apply.
If there is more than one protected area(s) name(s), please separate them by hitting enter in the answer space below","2. Wildlife health, including infectious and non-infectious diseases, is important to achieve the conservation goals of the protected areas where I work ",3. Pathogens carried by wildlife inhabiting the protected area I work in can affect livestock health    ,4. Pathogens carried by wildlife inhabiting the protected area I work in can affect public health,5. Human or livestock pathogens can affect wildlife populations inhabiting the protected area I work in,"6. Introduced domestic animals (e.g., dogs, cats, cattle, pigs, cats) are a concern for the conservation goals of the protected areas where I work",7. Are dead animals encountered in the protected area? ,8. Are sick or injured animals encountered in the protected area? ,9. Are livestock encountered in the protected area?,"10. How long, on average, are the patrols in the protected area?","11. On average, how many patrols are completed in the protected area in one month?",12. Are healthy wildlife found during patrols (rangers or others) recorded as a specific category of individuals?,12.a Please select one of the choices below to help us understand how healthy wildlife are recorded during a patrol:,12.b Please indicate what type of data are recorded (check all that apply),12.c Are these data entered and stored in SMART Desktop?,12.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,13. Are dead wildlife found during patrols recorded as a specific category of individuals? ,13.a Please select one of the choices below to help us understand how dead wildlife are recorded during a patrol:,13.b Please indicate what type of data are recorded (check all that apply),13.c Are these data entered and stored in SMART Desktop?,13.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,14. Are injured wildlife found during patrols recorded as a specific category of individuals? ,14.a Please select one of the choices below to help us understand how injured wildlife are recorded during a patrol:,14.b Please indicate what type of data are recorded (check all that apply),14.c Are these data entered and stored in SMART Desktop?,14.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded?,15. Are sick wildlife found during patrols recorded as a specific category of individuals? ,15.a Please select one of the choices below to help us understand how sick wildlife are recorded during a patrol:,15.b Please indicate what type of data are recorded (check all that apply),15.c Are these data entered and stored in SMART Desktop?,15.c.i If none of the items are recorded in the corresponding SMART Conservation Area where are they recorded? ,"16. Are domestic animals found in the protected area (free-ranging, captive, on a farm)?","17. If observed on a patrol, is the presence of domestic animals recorded?",17.a Are these data entered in SMART Desktop?,"18. Is the health status of the observed domestic animals recorded (healthy, sick or injured, dead) recorded?",18.a Are these data entered in SMART Desktop?,19. Is any other data relevant to wildlife health collected during the patrols?,"20. If no data are collected on dead, sick, or injured wildlife, please select the best explanation(s) for why this information is not collected (check all that apply)",21. What version of SMART Desktop is currently used in the protected area?,22. Is SMART Connect available to manage and transfer information between SMART Desktop and SMART Mobile? ,22.a Are there plans to set up SMART Connect instance and when?,23. Is SMART fully rolled-out in the protected area(s) you work in or is it being piloted?,24. Would you be interested in adding a set of categories and attributes to your data model in order to facilitate the collection of wildlife health data (morbidity/mortality findings and events)? ,25. Please select the option that best describes your position
12/26/2022 12:45:57,,RB ISLAS DEL PACIFICO,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Very frequently,Occasionally,Never,Less than a day,5,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Photographs, Species",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Sex, Carcass condition, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Anomalies/signs if any, Body condition, Suspect cause of injury",None of these items are recorded in the corresponding SMART Conservation Area,REPORTES ESCRITOS ESPECIFICOS POR ESPECIE,No,,,,,Yes,Yes,Yes,No,,NO,Lack of expertise on how to properly record this information,4.1.0.201612211110,No,NO SE SABE EXACTAMENTE,Under pilot,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/26/2022 13:31:13,,"Nouabale-Ndoki National Park, Republic of the Congo",Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Occasionally,Rarely,Very rarely,Between four days and a week,1,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),Species,All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,No,Yes,Yes,No,,Research teams might occasionally collect pathogen samples and  carcass swabs,It would add too much work or time to the patrol,6.3,Yes,,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/27/2022 11:06:25,,Parque Nacional Yasuní,Neutral,Agree,Agree,Strongly agree,Strongly agree,Occasionally,Rarely,Rarely,Between four days and a week,30,Yes,Each individual healthy animal is recorded as an individual observation,"Species, Age, Sex, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife is recorded in another way,"Species, Age, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,Photographs,All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Yes,Yes,No,," In SMART, We was attached a report where specified how wildlife was feed before enter a rescue center ",Never thought about it,5.2,No,not yet,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
12/27/2022 13:16:28,,Reserva Ecológica Arenillas,Neutral,Disagree,Neutral,Strongly agree,Strongly agree,Sometimes,Very rarely,Occasionally,Less than a day,25,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Other",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,Yes,No,,"Si se encuentra herido, osamentas, sector","Dead, sick or injured wildlife are seldom found, It would add too much work or time to the patrol",6.3.0,No,Cuando se socialice dicha versión y sea compatible para iOS y Android.,Partially rolled-out,No,I am a general manager or administrator of one or more protected areas that uses SMART data
1/3/2023 21:32:22,,Parque Nacional Antisana,Agree,Somewhat Disagree,Disagree,Strongly agree,Strongly agree,Sometimes,Sometimes,Sometimes,Between one to two days,15,No,,,,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Sex, Suspect cause of death",Some of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,Yes,Yes,Yes,no,"Dead, sick or injured wildlife are seldom found, Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife",6.2.3,No,Si pero no se tiene fecha,Fully rolled-out,Yes,I am a general manager or administrator of one or more protected areas that uses SMART data
1/4/2023 15:47:59,,Parque Nacional Huatulco,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Occasionally,Sometimes,Never,Between one to two days,15,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Sex, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total dead animals of species X and 2 total dead animals of species Y”).,"Photographs, Species, Sex, Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Injured wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total injured animals of species X and 2 total injured animals of species Y”).,"Photographs, Species, Age, Sex, Anomalies/signs if any, Suspect cause of injury, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,Yes,Yes,Yes,Yes,Fauna Feral es registrada como exótica invasora,"Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife",IDK,Yes,,Under pilot,Yes,I am directly responsible for managing SMART data in one or more protected areas
1/5/2023 19:12:24,,Parque Nacional Yasuní,Agree,Agree,Agree,Strongly agree,Strongly agree,Sometimes,Very rarely,Very rarely,Between two and five days,104,Yes,Healthy wildlife are recorded as present/absent (the number of healthy individuals is not specified),"Photographs, Species, Sex",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Sex, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Sex, Anomalies/signs if any, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,Yes,No,,No,,"tamaño, peso, sitios, coordenadas, comunidades, donde se encontró el animal","We use the default SMART data model which does not include sick, dead or injured wildlife",5.0.2,No,No,Fully rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
1/9/2023 9:58:14,,Endau Rompin Landscape,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Very frequently,Very frequently,Occasionally,Between four days and a week,3,Yes,Each individual healthy animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Body condition, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of disease, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,Yes,Yes,No,Never thought about it,6,Yes,,Fully rolled-out,Yes,Other
1/10/2023 8:13:21,,"RUKWA GAME RESERVE
RUNGWA KIZIGO MUHESI GAME RESERVE
RUKWATI PITI GAMERESERVE.
",Agree,Agree,Agree,Agree,Disagree,Rarely,Rarely,Rarely,Between four days and a week,4,Yes,Each individual healthy animal is recorded as an individual observation,"Species, Age, Sex, Body condition",None of these items are recorded in the corresponding SMART Conservation Area,Ant poaching data forms and ecology form,Yes,Each individual dead animal is recorded as an individual observation,"Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Species, Age, Sex, Anomalies/signs if any, Body condition, Suspect cause of injury",None of these items are recorded in the corresponding SMART Conservation Area,Antpoaching incidencies observed,Yes,Sick wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total sick animals of species X and 2 total sick animals of species Y”).,"Species, Age, Sex, Anomalies/signs if any, Body condition",None of these items are recorded in the corresponding SMART Conservation Area,Antpoaching form,Yes,Yes,Yes,Yes,Yes,Yess,Lack of expertise on how to properly record this information,Intel(R) Core (TM)i5-7200CPU@ 2.50GHz 2.70 GHz,Yes,,Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
1/11/2023 2:07:12,,Tanintharyi Nature Reserve,Neutral,Agree,Neutral,Neutral,Neutral,Sometimes,Rarely,Occasionally,Between one to two days,5,Yes,Healthy wildlife are counted and reported as part of the full count of individuals belonging to an observed species (e.g. “3 total healthy animals of species X and 2 total healthy animals of species Y”),"Photographs, Species, Other",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Dead wildlife are recorded as present/absent (the number of dead individuals is not specified),"Photographs, Species, Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,No,,,,,No,,,,,Yes,Yes,Yes,No,,no,"Lack of expertise on how to properly record this information, We use the default SMART data model which does not include sick, dead or injured wildlife",6.3,No,not yet,Under pilot,No,Other
1/16/2023 16:09:14,,"Rungwa
Kizigo
Muhesi Game Reserves",Strongly agree,Agree,Disagree,Disagree,Agree,Sometimes,Very rarely,Rarely,Between four days and a week,5,No,,,,,Yes,Each individual dead animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Carcass condition, Anomalies in carcass (if any), Suspect cause of death",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual injured animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Body condition, Suspect cause of injury",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Each individual sick animal is recorded as an individual observation,"Photographs, Species, Age, Sex, Body condition, Suspect cause of disease",All of these items are entered and stored in the corresponding SMART Conservation Area,,Yes,Yes,Yes,Yes,Yes,No,Lack of expertise on how to properly record this information,Smart 6.3.0.win6405292020,No,"Plan started but there was a technical problem and it no longer work, there is need to resume training and solve the current problems",Partially rolled-out,Yes,I am directly responsible for managing SMART data in one or more protected areas
